	img	id	shapeIndex	angle	estimate	trueNum	transformed
1007	Sphere1_4K8TN3568_view3	4K8TN3568	Sphere1	66	5.3230099791384085	5.996452088619021	6.015446584614807
1008	Sphere1_2U5WUV994_view2	2U5WUV994	Sphere1	0	4.770684624465665	6.455198563340122	6.177848069240383
1009	Sphere1_2VVPEOJCT_view2	2VVPEOJCT	Sphere1	0	4.990432586778736	6.885509670034818	6.687454622900724
1010	Sphere1_5ISRX8WX7_view2	5ISRX8WX7	Sphere1	0	5.087596335232384	6.866933284461882	6.932856090025243
1011	Sphere1_3Q4PQTHOB_view3	3Q4PQTHOB	Sphere1	66	5.37989735354046	6.481577129276431	6.183690728252124
1012	Sphere1_6BC52LY03_view4	6BC52LY03	Sphere1	45	4.356708826689592	4.219507705176107	4.1564056370413205
1013	Sphere1_8A9TI2WQ7_view3	8A9TI2WQ7	Sphere1	66	5.41610040220442	6.782192056006791	6.292958117721593
1014	Sphere1_IM4V1DJEB_view1	IM4V1DJEB	Sphere1	90	5.541263545158426	6.93537044601511	6.461717095272753
1015	Sphere1_BWRPH9NZR_view2	BWRPH9NZR	Sphere1	0	5.087596335232384	6.90875477931522	6.932856090025243
1016	Sphere1_4K8TN3568_view4	4K8TN3568	Sphere1	45	5.1298987149230735	5.996452088619021	5.82401112344807
1017	Sphere1_PZYC0E03A_view2	PZYC0E03A	Sphere1	0	4.795790545596741	6.5638555265321274	6.232884288048258
1018	Sphere1_2U5WUV994_view3	2U5WUV994	Sphere1	66	5.37989735354046	6.455198563340122	6.183690728252124
1019	Sphere1_2VVPEOJCT_view3	2VVPEOJCT	Sphere1	66	5.459585514144159	6.885509670034818	6.426463133021308
1020	Sphere1_5ISRX8WX7_view3	5ISRX8WX7	Sphere1	66	5.438079308923196	6.866933284461882	6.360128106110565
1021	Sphere1_6BC52LY03_view5	6BC52LY03	Sphere1	22	4.356708826689592	4.219507705176107	4.705673415715399
1022	Sphere1_3Q4PQTHOB_view4	3Q4PQTHOB	Sphere1	45	5.2832037287379885	6.481577129276431	6.247252334836826
1023	Sphere1_8A9TI2WQ7_view4	8A9TI2WQ7	Sphere1	45	5.37989735354046	6.782192056006791	6.529960854343976
1024	Sphere1_IM4V1DJEB_view2	IM4V1DJEB	Sphere1	0	5.087596335232384	6.93537044601511	6.932856090025243
1025	Sphere1_BWRPH9NZR_view3	BWRPH9NZR	Sphere1	66	5.484796933490655	6.90875477931522	6.504994576444627
1026	Sphere1_4K8TN3568_view5	4K8TN3568	Sphere1	22	5.181783550292085	5.996452088619021	6.506051824560192
1027	Sphere1_2U5WUV994_view4	2U5WUV994	Sphere1	45	5.298317366548036	6.455198563340122	6.290637129923315
1028	Sphere1_5ISRX8WX7_view4	5ISRX8WX7	Sphere1	45	5.41610040220442	6.866933284461882	6.638946234115
1029	Sphere1_2VVPEOJCT_view4	2VVPEOJCT	Sphere1	45	5.351858133476067	6.885509670034818	6.446726090791671
1030	Sphere1_PZYC0E03A_view3	PZYC0E03A	Sphere1	66	5.41610040220442	6.5638555265321274	6.292958117721593
1031	Sphere1_3Q4PQTHOB_view5	3Q4PQTHOB	Sphere1	22	5.25227342804663	6.481577129276431	6.701020314299839
1032	Sphere1_8A9TI2WQ7_view5	8A9TI2WQ7	Sphere1	22	5.393627546352362	6.782192056006791	7.1115142348511675
1033	Sphere1_BWRPH9NZR_view4	BWRPH9NZR	Sphere1	45	5.3981627015177525	6.90875477931522	6.584733126639222
1034	Sphere1_8B8X52UMJ_view1	8B8X52UMJ	Sphere1	90	5.575949103146316	6.249975242259483	6.573976486859365
1035	Sphere1_2U5WUV994_view5	2U5WUV994	Sphere1	22	5.267858159063328	6.455198563340122	6.745000746253218
